# Query-Ownership-Registry — maschinenlesbare Fassung der Regel
# "Money-Page besitzt die Query" (docs/standards/BRAND_AND_COPY.md)
# und "keine zwei Seiten mit gleichem Keyword-Ziel" (docs/seo/seo-content-system.md §8).
#
# Zweck: Vor dem Anlegen einer neuen Seite/eines neuen Beitrags pruefen, ob die
# Ziel-Intention bereits eine besitzende URL hat:
#   bash agents/skills/seo-agent/scripts/intent-gate.sh check "<query>" [<ziel-slug>]
#   bash agents/skills/seo-agent/scripts/intent-gate.sh audit
#
# Spalten:
#   query          Head-Term/Intention in Kleinschreibung, Umlaute ausgeschrieben
#   owner_path     Die EINE URL, die diese Query besitzen soll
#   intent         transactional | commercial | informational | navigational | local
#   status         owned = besitzt die Query | support = darf unterstuetzen, nicht ranken
#   source         Belegstelle im Repo (kein geratener Wert)
#   distinct_from  Mit "|" getrennte Queries, deren Naehe bewusst akzeptiert ist.
#                  Nur befuellen, wenn die Intent-Trennung irgendwo belegt ist —
#                  diese Spalte schaltet eine Warnung ab, also ist sie eine Entscheidung.
#
# Belege stammen aus seo-research/2026-07/reports/ (GSC-Exporte). Keine erfundenen
# Volumina. Neue Zeilen nur mit Quellenangabe eintragen.
#
# Bewusst OHNE Owner (2026-08-02): "solar leads", "pv leads", "leads solar" und
# "solar lead generation". Sie standen auf /b2b-solar-leads/, obwohl diese URL nur
# Gewerbe-PV- und PV-Termine-B2B-Intent besitzt. Die Queries sind zu breit, um sie
# ohne Beleg einer anderen Money-Page zuzuweisen — sie bleiben offen, bis der
# Suchintent belegt getrennt ist. gap-report.sh meldet sie so lange als
# REGISTRY-LUECKE. Das ist der gewollte Zustand, kein Versehen.
#
# Ownership-Linie WordPress/Tracking (2026-08-06): Beide Seiten bekommen im
# 28d-Export Signal aus Queries ohne Solar-Bezug — zusammen 541 der 1.420
# Domain-Impressionen. Damit die Vertiefung der Hannover-Seite nicht in die
# Tracking-Seite laeuft, gilt eine Orts- und keine Themenregel:
#
#   ortsqualifiziert (hannover / niedersachsen)  -> /wordpress-agentur-hannover/
#   nicht ortsqualifiziert (tracking-Terme)      -> /server-side-tracking-b2b/
#
# Konkret: "wordpress seo hannover" und "wordpress wartung hannover" bleiben auf
# der lokalen Money-Page. Die zugehoerigen Slugs /wordpress-seo-hannover/ und
# /wordpress-wartung-hannover/ liefern 410 Gone (LIVE_STATUS.md) — die Eintraege
# hier verhindern, dass sie als neue Seiten wiederauferstehen. Umgekehrt gehoeren
# "agentur"-Tracking-Queries nicht auf die Hannover-Seite, auch wenn Tracking dort
# fachlich vorkommt.
query;owner_path;intent;status;source;distinct_from
leadgenerierung photovoltaik;/solar-waermepumpen-leadgenerierung/;transactional;owned;gsc-verlauf-2026-07-20.md#kannibalisierungs-karte — GSC 28d 2026-07-30: /b2b-solar-leads/ rankt Pos. 46,2 (Owner-Entscheidung offen);
leadgenerierung waermepumpe;/solar-waermepumpen-leadgenerierung/;transactional;owned;seo-meta.php forced-map;
photovoltaik leads;/solar-waermepumpen-leadgenerierung/;transactional;owned;keyword-map.md#a-money — GSC 28d 2026-07-30: /b2b-solar-leads/ rankt Pos. 50,0, Titel/H1 dort bereinigt;photovoltaik leads kaufen
leads photovoltaik;/solar-waermepumpen-leadgenerierung/;transactional;owned;gsc-export-28d-2026-07-30.csv (Pos. 48,0, 2 Impr. auf /b2b-solar-leads/) — belegte nahe Variante von "photovoltaik leads";photovoltaik leads|photovoltaik leads kaufen|leads kaufen photovoltaik
waermepumpen leads;/waermepumpen-leads/;commercial;owned;gsc-verlauf-2026-07-20.md#kannibalisierungs-karte;
waermepumpen leads kaufen;/waermepumpen-leads/;transactional;owned;gsc-verlauf-2026-07-20.md#kannibalisierungs-karte;
pv termine b2b;/b2b-solar-leads/;commercial;owned;gsc-verlauf-2026-07-20.md#high-leverage-4;
b2b photovoltaik;/b2b-solar-leads/;commercial;owned;gsc-verlauf-2026-07-20.md#gesamtbild;
solar leads kaufen;/solar-leads-kaufen-alternative/;commercial;owned;gsc-verlauf-2026-07-20.md#kannibalisierungs-karte;solar leads kosten
photovoltaik leads kaufen;/solar-leads-kaufen-alternative/;commercial;owned;seo-meta.php forced-map;
pv leads kaufen;/solar-leads-kaufen-alternative/;commercial;owned;seo-meta.php forced-map;
leads kaufen photovoltaik;/solar-leads-kaufen-alternative/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 40,5);photovoltaik leads
leadgenerator solar;/solar-leads-kaufen-alternative/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 59,0);
solar leads kosten;/solar-leads-kosten-studie/;informational;owned;seo-meta.php forced-map;
cost per lead photovoltaik;/cost-per-lead-photovoltaik/;informational;owned;seo-meta.php forced-map;
portal leads vergleich;/eigene-leadgenerierung-vs-portale/;informational;owned;seo-meta.php forced-map;
kunden gewinnen solarteure;/kunden-gewinnen-solarteure/;commercial;owned;seo-meta.php forced-map;
qualifizierte pv anfragen;/qualifizierte-pv-anfragen/;informational;owned;seo-meta.php forced-map;
lead funnel solar;/lead-funnel-solar/;informational;owned;seo-meta.php forced-map;
server side tracking;/server-side-tracking-b2b/;commercial;owned;gsc-verlauf-2026-07-20.md#kannibalisierungs-karte;
